MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
19.5,22.4,15.6,6.2,0.0,41,17,20,92,84,1017.6,1017.4,8,8,20.7,20.9,1,1 
19.5,25.6,6.0,3.4,2.7,41,9,13,83,73,1017.9,1016.4,7,7,22.4,24.8,1,1
21.6,24.5,6.6,2.4,0.1,41,17,2,88,86,1016.7,1015.6,7,8,23.5,23.0,1,1
20.2,22.8,18.8,2.2,0.0,41,22,20,83,90,1014.2,1011.8,8,8,21.4,20.9,1,1
19.7,25.7,77.4,4.8,0.0,41,11,6,88,74,1008.3,1004.8,8,8,22.5,25.5,1,1
20.2,27.2,1.6,2.6,8.6,41,9,22,69,62,1002.7,998.6,6,6,23.8,26.0,1,1
18.6,26.3,6.2,5.2,5.2,41,15,15,75,80,999.0,1000.3,4,7,21.7,22.3,1,1
17.2,22.3,27.6,5.8,2.1,41,7,15,77,61,1008.3,1007.4,7,8,18.9,21.1,1,1
16.4,20.8,12.6,4.8,3.0,41,19,9,92,91,1006.4,1007.6,7,7,17.1,16.5,1,1
18.9,27.3,0.0,6.8,6.7,41,7,24,68,67,1010.7,1007.5,7,7,22.9,24.7,0,1
18.4,22.8,14.4,7.0,3.3,41,24,30,87,70,1009.2,1011.7,8,7,20.9,21.0,1,1
19.3,26.2,0.0,3.6,8.4,41,2,28,73,65,1018.3,1015.6,1,6,23.0,25.8,0,1
19.0,29.0,22.2,8.2,3.3,41,0,15,82,52,1014.1,1010.6,7,7,21.3,24.7,1,1
17.9,21.4,4.2,4.2,0.0,41,20,9,77,88,1010.0,1010.1,8,8,20.4,19.2,1,1
12.8,22.0,0.2,6.2,11.3,41,19,31,55,46,1020.9,1020.6,0,1,15.9,21.2,0,1
19.9,24.9,0.0,7.6,4.5,41,13,24,83,75,1021.3,1020.7,5,7,22.9,23.3,0,1
17.7,19.6,1.0,7.0,0.0,41,26,22,87,80,1017.3,1018.9,8,8,17.8,18.4,0,1
16.3,24.8,0.4,4.0,6.1,41,9,13,82,57,1023.1,1020.6,5,6,18.5,24.8,0,1
19.8,27.5,0.4,6.4,2.5,41,4,17,81,58,1011.1,1006.9,5,7,21.4,27.0,0,1
13.1,22.7,0.0,3.6,6.4,41,13,20,71,55,1027.2,1024.6,5,6,17.7,22.1,0,1
15.3,22.0,12.0,3.2,4.7,41,11,15,83,70,1026.3,1024.2,5,6,18.2,19.8,1,1
14.6,22.1,9.6,5.4,5.1,41,20,17,86,75,1026.5,1024.1,6,6,17.0,18.9,1,1
15.6,22.2,22.8,5.4,5.8,41,13,20,96,62,1024.6,1021.4,7,5,16.3,21.1,1,1
15.1,22.7,0.0,1.8,6.6,41,11,4,81,75,1016.4,1013.4,5,6,17.4,19.7,0,1
13.2,18.9,11.0,3.2,5.2,41,19,30,82,64,1019.6,1019.2,7,3,15.9,18.8,1,1
13.8,19.7,2.8,2.8,1.7,41,20,22,85,71,1025.4,1023.9,7,7,15.9,19.0,1,1
13.8,20.9,1.4,4.6,2.2,41,15,20,78,85,1026.4,1024.6,7,8,17.2,16.2,1,1
14.9,19.7,4.6,1.4,0.8,41,17,13,91,72,1025.1,1023.4,7,7,16.4,19.4,1,1
15.3,20.0,6.4,3.2,0.3,41,4,15,94,75,1025.4,1023.7,8,7,16.4,19.6,1,1
15.9,21.4,5.0,4.8,5.0,41,22,24,51,61,1027.2,1026.1,6,7,19.3,19.5,1,1
15.2,19.1,2.8,4.0,1.3,41,15,6,79,75,1026.6,1023.7,7,6,17.3,18.4,1,1
14.7,19.3,21.8,7.5,4.6,41,9,19,91,70,1023.2,1021.4,8,7,16.6,19.0,1,1
14.4,20.3,10.2,3.6,2.0,41,9,20,90,55,1023.6,1022.3,7,5,16.1,20.1,1,1
14.7,17.9,12.6,4.0,0.7,41,6,22,90,89,1024.0,1022.1,7,7,16.2,17.2,1,1
14.7,20.0,15.6,1.6,2.5,41,19,20,93,80,1021.3,1018.6,7,7,16.8,19.3,1,1
12.0,21.4,0.2,3.2,8.7,41,13,9,90,60,1022.2,1017.8,1,1,13.9,21.3,0,1
11.6,20.5,0.2,2.2,0.3,41,19,17,91,74,1029.3,1027.0,7,7,14.3,18.7,0,1
14.3,17.6,22.0,1.8,0.1,41,9,7,97,90,1027.3,1024.8,8,7,15.3,17.1,1,1
15.2,19.1,4.0,0.4,0.0,41,17,22,98,90,1026.4,1024.1,8,8,15.6,16.7,1,1
15.5,18.3,9.2,2.4,0.0,41,19,26,87,88,1023.1,1020.5,8,8,17.5,17.2,1,1
15.2,16.9,46.4,2.4,0.0,41,24,24,82,84,1020.1,1018.6,7,8,16.0,16.6,1,1
11.7,18.2,0.0,2.2,8.8,41,19,24,76,49,1025.0,1025.7,1,1,13.3,17.9,0,1
12.7,17.7,6.0,1.4,0.5,41,17,17,97,71,1032.1,1029.8,8,7,14.1,17.2,1,1
13.0,16.9,3.6,1.2,1.2,41,13,2,96,89,1030.9,1028.0,7,8,13.9,16.2,1,1
13.2,19.9,0.0,1.8,0.0,41,6,4,74,70,1022.9,1020.6,7,8,17.3,19.6,0,1
10.6,15.3,0.0,2.8,0.1,41,24,26,75,87,1024.4,1022.8,7,8,13.7,14.5,0,1
13.3,16.8,7.2,5.0,2.4,41,19,20,86,83,1024.2,1023.0,6,7,15.0,15.8,1,1
12.8,20.3,0.0,2.0,5.0,41,13,13,91,69,1020.3,1017.4,6,7,13.9,18.6,0,1
13.8,17.9,3.6,0.6,0.6,41,19,19,81,60,1018.3,1016.2,7,7,14.3,17.2,1,1
9.2,17.9,0.0,3.2,9.6,41,17,7,63,42,1022.7,1020.8,1,1,10.7,17.4,0,1
8.2,15.0,1.2,2.4,0.4,41,20,9,84,88,1029.0,1028.2,7,7,9.1,12.9,1,1
6.9,13.3,0.0,2.8,4.6,41,15,20,57,43,1018.0,1015.7,2,7,9.6,13.2,0,1
10.8,17.6,0.0,3.2,0.0,41,6,4,41,55,1015.4,1008.6,8,8,14.6,16.8,0,1
5.5,14.7,0.0,4.0,4.0,41,22,19,67,61,1031.5,1029.6,6,6,7.0,14.1,0,1
6.9,15.9,7.0,0.2,1.7,41,19,22,95,70,1029.3,1025.4,8,7,10.9,14.7,1,1
9.8,12.7,8.8,2.4,0.1,41,15,17,93,81,1022.6,1020.1,8,7,10.5,12.6,1,1
6.3,17.6,0.0,2.0,7.6,41,11,6,71,41,1013.1,1008.6,2,7,9.1,16.4,0,1
7.0,13.6,3.8,3.0,3.6,41,20,31,79,79,1011.3,1011.3,6,8,8.4,10.2,1,1
8.3,16.5,0.8,0.4,6.0,41,20,19,74,75,1017.9,1014.6,1,7,10.9,11.4,0,1
9.4,20.2,0.0,3.2,1.1,41,7,11,58,44,1022.5,1017.1,8,7,12.0,18.2,0,1
10.2,11.9,2.6,3.4,0.0,41,15,17,90,87,1016.1,1015.5,8,8,10.5,10.5,1,1
8.1,16.0,0.0,4.8,6.3,41,13,17,82,65,1023.4,1019.1,5,7,12.1,15.7,0,1
13.5,17.1,0.4,4.6,0.7,41,20,26,55,64,1034.2,1031.0,7,8,15.4,15.8,0,1
13.1,15.7,1.6,4.4,0.0,41,28,20,76,88,1024.9,1020.8,8,8,15.6,14.2,1,1
11.8,14.2,62.2,4.8,0.0,41,22,30,92,88,1014.8,1013.1,8,8,13.0,12.3,1,1
14.8,30.6,0.0,7.4,10.6,41,4,7,40,47,1014.1,1010.4,3,1,24.3,25.0,0,1
17.2,23.5,3.6,9.6,2.8,41,15,7,82,79,1011.8,1007.4,8,6,18.0,19.3,1,1
13.2,29.8,0.0,4.4,7.5,41,6,37,64,33,1011.6,1007.0,0,7,19.1,27.6,0,1
15.6,17.0,2.6,10.4,3.0,41,17,24,88,60,1015.5,1018.0,8,5,15.6,16.9,1,1
22.5,34.8,0.0,8.6,9.8,41,15,11,41,20,1014.8,1010.3,1,7,29.6,33.9,0,1
17.5,19.4,9.6,10.4,0.0,41,13,9,89,88,1015.2,1012.9,7,8,18.9,19.0,1,1
14.6,19.1,3.4,1.0,0.0,41,11,11,93,86,1018.4,1015.3,8,8,14.9,16.0,1,1
16.6,21.0,0.6,9.2,2.3,41,20,20,89,84,1021.7,1016.0,8,7,16.8,17.6,0,1
17.1,22.2,0.0,8.0,5.7,41,20,20,76,55,1022.3,1019.3,7,1,18.1,21.8,0,1
14.5,19.2,1.8,5.2,8.4,41,26,35,68,59,1020.9,1019.6,6,7,16.8,18.8,1,1
9.9,14.3,12.6,6.0,2.3,41,19,24,87,74,1022.1,1021.9,7,7,10.3,12.4,1,1
7.9,15.7,11.4,4.2,5.0,41,24,26,71,75,1023.2,1022.5,6,7,11.9,14.1,1,1
17.6,21.9,0.0,11.4,5.7,41,11,22,67,70,1020.8,1019.9,5,8,20.8,20.5,0,1
16.8,17.3,6.2,4.6,0.0,41,11,13,93,91,1024.3,1023.8,8,8,17.2,16.7,1,1
17.5,23.1,0.8,4.6,0.2,41,11,17,72,60,1024.9,1021.0,7,7,18.3,20.0,0,1
19.2,27.0,0.0,10.6,9.1,41,13,22,65,57,1013.8,1010.6,5,5,24.3,26.1,0,1
18.5,23.1,6.6,9.4,2.4,41,17,19,92,73,1013.6,1012.1,8,7,18.6,21.5,1,1
16.2,23.4,0.0,4.0,8.3,41,22,24,60,60,1017.0,1013.7,7,8,20.6,21.6,0,1
17.0,22.1,6.2,7.8,1.0,41,9,20,91,78,1011.4,1008.2,8,8,18.4,20.9,1,1
12.2,19.7,0.2,9.8,2.1,41,19,26,50,55,986.7,991.0,7,5,13.8,18.4,0,1
19.5,24.6,0.2,7.8,0.7,41,24,17,71,75,1005.0,1003.9,8,7,22.9,22.2,0,1
19.3,23.3,10.8,2.6,6.9,41,13,24,92,79,1002.2,1002.0,7,7,20.3,19.8,1,1
20.0,26.1,0.0,7.6,4.9,41,11,20,81,78,1007.9,1008.4,8,7,21.1,21.7,0,1
18.2,22.3,6.8,4.4,6.3,41,19,31,74,72,1014.3,1010.9,7,6,20.3,21.9,1,1
19.5,23.4,0.0,9.4,5.2,41,35,30,71,66,1007.1,1009.6,3,8,21.9,21.7,0,1
17.2,19.9,3.4,4.6,0.0,41,15,26,90,58,1013.8,1015.0,8,8,17.5,19.7,1,1
17.4,24.5,3.6,4.0,0.0,41,13,30,85,92,1015.8,1009.9,8,8,17.6,18.4,1,1
20.5,27.2,0.0,7.2,0.7,41,9,13,79,70,1009.0,1005.0,7,8,24.5,26.2,0,1
20.7,24.9,0.0,8.0,7.2,41,28,15,72,68,1004.8,1003.7,2,6,22.6,22.4,0,1
17.4,24.6,0.0,6.6,8.7,41,19,31,58,57,1013.8,1011.5,3,1,23.4,23.9,0,1
23.0,33.4,0.0,14.2,9.4,41,7,19,61,39,1009.1,1006.0,5,6,28.6,33.1,0,1
20.1,28.7,0.0,9.0,12.4,41,9,22,61,54,1013.7,1010.6,0,1,24.7,27.0,0,1
20.8,26.8,0.0,6.8,1.2,41,9,15,80,72,1019.3,1019.1,8,7,21.9,25.3,0,1
20.2,23.9,14.2,1.8,1.7,41,9,7,95,93,1021.1,1019.9,8,8,20.8,22.4,1,1
20.9,22.5,0.0,9.0,0.0,41,20,17,84,81,1011.9,1011.7,8,8,21.2,20.6,0,1
17.9,19.4,3.4,1.6,0.0,41,6,19,94,89,1011.9,1010.1,8,8,18.2,18.7,1,1
17.5,22.0,0.6,4.0,1.1,41,19,31,76,56,1017.5,1018.7,7,8,18.9,21.4,0,1
16.4,20.4,23.2,5.4,0.0,41,24,24,86,90,1025.4,1025.0,8,8,18.0,17.9,1,1
17.0,21.2,19.6,4.4,0.0,41,30,19,66,67,1022.9,1019.2,8,8,19.1,20.4,1,1
16.5,23.3,25.6,2.4,0.2,41,19,22,88,66,1014.7,1013.9,8,8,19.4,23.1,1,1
18.6,25.0,16.4,4.8,6.4,41,19,24,82,62,1017.6,1017.8,7,7,20.3,22.6,1,1
19.4,22.9,3.8,7.4,0.0,41,9,17,70,71,1017.0,1015.4,8,8,20.8,22.0,1,1
19.4,26.6,24.6,3.2,7.1,41,19,15,93,62,1010.2,1008.1,8,6,20.2,25.7,1,1
21.9,24.4,0.0,6.4,0.3,41,0,11,85,68,1013.3,1013.2,8,8,22.5,23.6,0,1
20.2,25.3,0.0,5.0,4.1,41,11,19,80,77,1017.8,1018.7,5,7,22.2,22.0,0,1
20.2,23.4,0.0,6.2,1.8,41,17,24,59,70,1023.8,1022.7,3,7,23.3,22.3,0,1
19.9,27.2,0.0,4.0,6.4,41,2,20,82,64,1014.7,1010.1,3,6,22.3,26.8,0,1
20.8,26.0,0.0,7.0,8.0,41,4,17,69,60,1019.7,1017.5,4,4,23.0,25.2,0,1
18.6,26.2,0.0,4.0,6.7,41,7,22,66,65,1024.1,1022.3,2,6,22.9,24.7,0,1
19.8,22.5,2.6,6.0,0.0,41,20,26,86,89,1021.8,1020.4,8,8,21.1,19.9,1,1
18.4,24.7,46.0,5.0,2.3,41,28,30,93,73,1021.1,1021.0,8,7,20.5,23.9,1,1
19.6,24.7,11.4,3.8,2.4,41,22,17,87,79,1023.3,1021.8,8,7,21.9,23.8,1,1
20.1,25.1,5.0,2.6,7.9,41,0,24,92,73,1021.1,1016.9,6,5,21.4,24.4,1,1
20.4,22.6,0.0,3.6,0.1,41,15,7,79,84,1022.5,1019.3,8,8,21.6,20.9,0,1
14.2,22.8,0.0,5.2,7.9,41,11,28,66,56,1020.0,1018.1,1,5,18.3,20.9,0,1
15.8,22.5,13.4,3.4,8.3,41,20,17,91,62,1019.9,1017.9,7,6,16.1,21.7,1,1
16.4,22.1,0.6,5.4,5.0,41,33,15,59,64,1022.8,1021.3,5,7,20.5,20.1,0,1
16.0,22.7,6.8,3.4,7.7,41,9,17,85,65,1024.3,1022.5,7,7,17.2,20.1,1,1
10.2,17.6,0.0,4.6,2.4,41,20,22,59,63,1022.3,1019.5,7,7,12.6,16.6,0,1
11.0,17.4,6.2,2.4,2.7,41,17,4,92,88,1020.5,1020.4,7,7,12.8,14.1,1,1
10.9,22.0,0.0,2.2,9.4,41,22,22,61,56,1025.1,1022.7,1,2,14.0,20.8,0,1
12.1,23.3,0.0,3.2,10.0,41,19,15,84,53,1028.5,1025.5,1,1,14.5,21.6,0,1
13.0,20.1,0.8,3.4,3.4,41,11,17,86,46,1024.6,1023.6,7,5,13.9,19.6,0,1
10.5,20.9,0.0,2.6,5.2,41,19,17,74,52,1025.7,1023.3,3,5,13.2,19.7,0,1
13.0,21.4,2.6,2.4,4.4,41,15,20,91,53,1024.5,1021.4,6,6,14.5,20.0,1,1
14.5,21.2,20.2,4.4,3.0,41,33,31,68,62,1022.1,1020.1,7,7,19.2,20.4,1,1
14.8,19.7,27.2,1.8,0.2,41,15,19,53,62,1023.9,1022.0,7,7,19.2,18.7,1,1
15.6,19.6,4.6,6.6,0.0,41,15,19,59,85,1023.6,1020.8,8,8,19.1,17.5,1,1
15.4,20.8,17.6,5.0,6.0,41,15,19,66,80,1023.6,1023.3,5,8,19.6,18.1,1,1
13.9,16.9,0.0,3.0,0.1,41,15,6,88,86,1020.4,1018.4,7,8,15.3,16.3,0,1
11.4,17.5,0.0,2.4,6.1,41,20,26,65,65,1023.3,1022.3,3,7,12.4,16.6,0,1
9.9,16.5,15.0,4.6,4.0,41,19,13,82,78,1028.2,1027.1,8,6,11.7,15.9,1,1
12.5,19.1,0.0,1.2,3.4,41,13,15,91,68,1030.1,1027.1,7,7,13.7,18.5,0,1
13.7,18.5,8.0,2.8,0.1,41,6,19,89,87,1025.9,1022.3,8,7,16.0,17.6,1,1
9.4,15.6,0.0,3.4,0.3,41,6,2,74,61,1014.5,1011.9,7,7,11.0,14.4,0,1
9.2,16.3,0.6,3.0,0.5,41,17,19,81,88,1017.9,1020.1,6,7,13.1,13.6,0,1
10.5,15.6,29.8,0.8,3.3,41,19,6,92,87,1027.6,1026.5,7,6,11.2,14.2,1,1
10.1,15.4,7.8,1.0,3.3,41,11,9,95,85,1030.0,1028.1,7,7,10.7,14.2,1,1
10.9,16.0,0.2,3.8,0.6,41,15,11,95,87,1028.0,1024.6,6,8,11.7,15.5,0,1
11.7,19.1,31.8,0.6,1.9,41,4,11,93,82,1023.9,1020.7,7,7,14.1,17.8,1,1
10.4,18.7,0.0,2.2,5.3,41,11,7,86,54,1006.3,1004.5,4,6,12.4,17.5,0,1
7.5,15.1,0.6,2.6,3.9,41,19,19,81,60,1025.0,1024.1,6,7,9.0,14.7,0,1
8.6,16.8,13.8,2.6,3.2,41,15,4,96,61,1029.6,1028.2,7,6,10.5,15.4,1,1
9.1,17.6,6.2,0.4,4.4,41,13,30,96,63,1030.9,1028.5,7,5,10.3,16.2,1,1
8.1,16.5,0.0,2.0,2.5,41,24,22,78,47,1012.3,1010.3,6,7,9.2,14.5,0,1
11.2,24.7,0.0,4.8,8.0,41,15,24,54,39,1011.5,1005.4,2,4,19.7,24.0,0,1
8.9,15.3,0.0,5.8,0.3,41,4,9,83,68,1019.1,1014.2,7,8,9.9,14.1,0,1
9.1,16.8,0.0,1.2,2.4,41,13,13,81,64,1016.3,1012.5,7,6,11.7,16.3,0,1
17.0,23.9,0.0,5.6,3.5,41,26,19,47,59,1006.1,1005.9,2,8,23.3,18.9,0,1
12.0,21.1,0.0,4.6,4.7,41,11,11,80,84,1020.7,1018.9,3,8,15.2,16.3,0,1
13.5,19.9,0.0,5.4,2.1,41,17,28,74,57,1008.5,1000.8,7,6,14.6,19.1,0,1
17.1,31.7,0.0,3.4,8.2,41,24,31,45,34,1002.8,998.3,0,1,25.8,30.9,0,1
16.5,20.7,0.0,10.2,0.5,41,15,15,72,68,1013.4,1010.0,7,8,18.3,19.4,0,1
13.6,15.2,12.6,3.0,0.0,41,22,19,91,89,1011.9,1014.1,8,8,13.8,14.5,1,1
12.9,17.0,38.2,2.4,0.0,41,6,19,88,61,1021.5,1019.8,8,7,13.5,16.6,1,1
13.1,20.2,3.4,1.8,2.2,41,13,11,91,65,1020.3,1017.1,7,7,14.2,18.4,1,1
11.5,19.6,6.6,2.6,6.4,41,22,17,77,64,1020.6,1016.7,6,4,13.5,18.0,1,1
10.6,19.3,7.0,3.6,8.8,41,20,22,51,29,1014.2,1011.3,1,5,14.1,18.5,1,1
9.6,17.1,0.0,5.2,4.7,41,15,17,65,76,1025.4,1026.0,5,6,13.5,13.9,0,1
8.9,18.6,24.4,3.4,6.7,41,15,19,84,59,1029.7,1027.3,4,7,12.0,17.6,1,1
11.6,21.2,0.0,8.0,12.2,41,15,20,53,43,1020.8,1020.6,1,1,16.8,20.3,0,1
17.9,20.9,0.0,5.6,1.1,41,7,7,72,94,1016.0,1015.7,7,8,20.3,16.5,0,1
14.4,17.0,73.2,4.8,0.0,41,31,26,91,60,1023.7,1025.3,8,8,14.7,16.6,1,1
16.9,19.8,0.0,2.2,1.1,41,13,24,75,68,1020.9,1021.9,7,7,19.4,19.1,0,1
16.7,21.3,1.4,3.0,0.8,41,24,19,66,57,1027.6,1027.1,7,7,19.2,20.8,1,1
16.6,26.7,0.0,6.8,11.2,41,17,20,70,54,1020.0,1013.4,0,6,22.0,26.0,0,1
18.7,27.6,0.0,6.4,10.3,41,6,19,72,62,1008.8,1002.0,5,7,22.6,26.6,0,1
18.1,23.1,0.0,11.8,3.9,41,19,33,55,61,1008.1,1009.2,4,7,21.2,19.6,0,1
14.3,21.2,4.4,6.4,9.6,41,22,24,58,59,1016.1,1017.4,2,5,17.9,19.4,1,1
21.5,32.0,0.0,10.4,11.6,41,13,37,71,51,1013.7,1008.5,0,5,26.0,29.8,0,1
20.2,21.4,5.4,13.6,0.0,41,11,20,87,83,1014.1,1016.7,8,8,20.2,18.5,1,1
17.7,20.2,12.0,2.8,0.0,41,17,20,91,85,1016.2,1016.4,8,8,17.8,18.6,1,1
17.7,22.9,4.8,1.8,0.0,41,20,13,92,80,1017.9,1016.1,8,8,20.2,22.3,1,1
20.1,23.1,16.0,2.6,1.4,41,13,22,97,83,1014.8,1015.4,8,7,20.6,22.7,1,1
23.3,30.7,0.0,6.8,4.8,41,15,19,70,79,1007.7,1005.7,7,7,25.6,24.9,0,1
23.7,27.7,0.2,9.2,8.8,41,19,35,64,69,1010.9,1011.0,1,6,27.0,25.4,0,1
25.0,41.3,0.0,13.4,5.6,41,26,6,28,17,1007.8,1005.4,5,5,31.9,39.9,0,1
22.2,26.6,0.0,4.8,1.8,41,0,17,80,81,1012.1,1009.5,8,8,23.7,24.6,0,1
19.6,30.2,2.6,3.4,9.5,41,7,20,81,53,1008.6,1010.0,1,1,22.2,29.6,1,1
22.7,27.7,0.6,8.0,9.8,41,19,30,61,60,1017.8,1016.4,6,7,25.0,25.9,0,1
21.4,27.3,23.4,6.4,7.3,41,26,26,90,66,1014.9,1014.3,7,4,22.0,27.2,1,1
21.9,27.2,3.4,6.0,3.9,41,28,28,83,76,1013.9,1011.3,7,7,25.2,26.1,1,1
23.1,26.5,4.0,4.8,3.0,41,11,19,79,88,1010.1,1008.8,7,7,25.8,24.9,1,1
20.5,22.4,31.2,5.0,0.0,41,31,24,95,95,1015.7,1016.2,7,8,21.6,22.2,1,1
20.2,25.0,77.4,7.4,0.2,41,19,15,95,86,1021.6,1020.8,7,8,21.1,23.8,1,1
23.9,37.8,0.0,9.0,9.8,41,2,15,71,32,1008.7,1005.5,6,7,26.9,37.4,0,1
21.4,25.5,70.0,9.4,0.3,41,17,11,92,80,1011.9,1010.2,8,8,22.1,25.2,1,1
22.1,26.4,10.0,2.0,1.4,41,9,11,91,92,1007.3,1004.5,7,8,23.5,23.9,1,1
21.0,26.7,0.0,8.0,3.8,41,4,13,83,72,1017.1,1014.3,7,8,23.7,25.8,0,1
19.2,19.7,4.2,5.0,0.0,41,19,17,68,84,1018.9,1018.4,8,8,19.4,19.2,1,1
20.5,25.1,0.0,5.2,1.0,41,20,15,72,83,1011.5,1009.6,7,8,23.9,23.5,0,1
17.4,24.7,0.0,7.4,7.1,41,22,19,68,52,1034.3,1032.9,2,6,20.5,22.8,0,1
22.4,27.5,0.0,2.8,0.1,41,7,11,78,56,1016.9,1016.4,7,8,23.2,26.7,0,1
20.5,21.3,4.0,4.8,0.0,41,4,9,92,88,1019.8,1018.4,8,8,20.6,21.2,1,1
15.9,24.0,0.0,6.6,7.2,41,17,15,72,56,1021.4,1020.0,2,3,18.6,22.1,0,1
15.4,22.4,6.8,3.2,6.6,41,13,19,84,59,1022.9,1020.5,6,6,17.7,20.7,1,1
17.0,23.3,0.8,2.2,3.6,41,0,17,74,62,1020.5,1017.6,6,7,21.4,22.4,0,1
18.5,25.9,3.8,2.8,1.1,41,15,22,90,65,1016.6,1012.3,8,7,19.1,24.5,1,1
19.0,28.7,3.0,1.4,9.4,41,17,17,77,71,1012.5,1011.8,3,3,22.2,24.3,1,1
20.2,28.6,0.0,7.2,3.4,41,11,20,57,49,1014.3,1009.9,7,7,22.8,26.4,0,1
14.0,19.4,0.0,5.0,0.3,41,20,13,79,64,1025.2,1024.4,8,7,14.4,19.2,0,1
15.4,21.1,0.0,3.8,5.9,41,7,28,59,41,1012.2,1011.3,7,3,18.7,18.1,0,1
12.7,17.9,1.0,2.4,0.2,41,19,4,85,68,1019.7,1016.7,8,8,13.1,16.5,0,1
12.4,15.4,13.8,1.0,0.0,41,22,17,94,92,1018.2,1017.4,8,8,13.0,14.9,1,1
11.7,19.5,0.0,1.2,6.4,41,13,20,83,58,1020.6,1017.9,3,6,13.9,18.4,0,1
